record_no,iso_code,country,population,year,co2,co2_per_capita,co2_per_gdp,co2_growth_prct,consumption_co2,consumption_co2_per_capita,share_global_co2
213,BDI,Burundi,8676000.0,2010,0.297,0.034,0.044,76.087,,,0.001
214,BDI,Burundi,8958000.0,2011,0.355,0.04,0.052000000000000005,19.552,,,0.001
215,BDI,Burundi,9246000.0,2012,0.38,0.041,0.054000000000000006,7.063,,,0.001
216,KHM,Cambodia,13680000.0,2007,3.452,0.252,0.115,15.192,7.302,0.534,0.011
217,KHM,Cambodia,13884000.0,2008,3.805,0.274,0.114,10.211,7.994,0.5760000000000001,0.012
218,KHM,Cambodia,14094000.0,2009,4.566,0.324,0.142,20.009,8.149,0.578,0.015
219,KHM,Cambodia,14312000.0,2010,5.0310000000000015,0.35100000000000003,0.15,10.166,9.874,0.69,0.015
220,KHM,Cambodia,14541000.0,2011,5.105,0.35100000000000003,0.139,1.486,10.835,0.745,0.015
221,KHM,Cambodia,14780000.0,2012,5.334,0.361,0.135,4.471,10.658,0.721,0.015
222,CMR,Cameroon,18730000.0,2007,5.702000000000001,0.304,0.125,51.953,6.1179999999999986,0.327,0.018000000000000002
223,CMR,Cameroon,19253000.0,2008,5.426,0.282,0.115,-4.835,6.6960000000000015,0.348,0.017
224,CMR,Cameroon,19790000.0,2009,6.595,0.333,0.138,21.537,7.791,0.394,0.021
225,CMR,Cameroon,20341000.0,2010,6.662000000000001,0.328,0.133,1.017,7.9529999999999985,0.391,0.02
226,CMR,Cameroon,20906000.0,2011,6.521,0.312,0.123,-2.114,8.399,0.402,0.019
227,CMR,Cameroon,21485000.0,2012,6.158,0.287,0.11,-5.566,8.758,0.408,0.018000000000000002
228,CAN,Canada,32931000.0,2007,594.221,18.044,0.424,4.0760000000000005,599.081,18.192,1.899
229,CAN,Canada,33338000.0,2008,575.587,17.265,0.394,-3.136,581.726,17.449,1.802
230,CAN,Canada,33746000.0,2009,542.55,16.077,0.411,-5.74,558.751,16.558,1.724
231,CAN,Canada,34148000.0,2010,555.55,16.269000000000002,0.4,2.396,595.075,17.426,1.6769999999999998
232,CAN,Canada,34539000.0,2011,566.741,16.409000000000002,0.388,2.014,563.506,16.315,1.6569999999999998
233,CAN,Canada,34922000.0,2012,569.737,16.315,0.393,0.529,603.612,17.285,1.639
234,CPV,Cape Verde,475000.0,2007,0.506,1.064,0.202,6.977,,,0.002
235,CPV,Cape Verde,481000.0,2008,0.469,0.975,0.172,-7.246,,,0.001
236,CPV,Cape Verde,487000.0,2009,0.52,1.068,0.183,10.938,,,0.002
237,CPV,Cape Verde,493000.0,2010,0.557,1.13,0.185,7.042000000000002,,,0.002
238,CPV,Cape Verde,499000.0,2011,0.616,1.234,0.19,10.526,,,0.002
239,CPV,Cape Verde,505000.0,2012,0.502,0.994,0.151,-18.452,,,0.001
240,CAF,Central African Republic,4198000.0,2007,0.253,0.06,0.063,1.471,,,0.001
241,CAF,Central African Republic,4273000.0,2008,0.253,0.059,0.062,,,,0.001
242,CAF,Central African Republic,4338000.0,2009,0.253,0.058,0.063,,,,0.001
243,CAF,Central African Republic,4387000.0,2010,0.264,0.06,0.063,4.348,,,0.001
244,CAF,Central African Republic,4419000.0,2011,0.278,0.063,0.062,5.556,,,0.001
245,CAF,Central African Republic,4436000.0,2012,0.293,0.066,0.063,5.263,,,0.001
246,TCD,Chad,10818000.0,2007,0.8540000000000001,0.079,0.054000000000000006,7.87,,,0.003
247,TCD,Chad,11184000.0,2008,0.927,0.083,0.057,8.584,,,0.003
248,TCD,Chad,11560000.0,2009,0.942,0.081,0.063,1.581,,,0.003
249,TCD,Chad,11952000.0,2010,0.997,0.083,0.054000000000000006,5.8370000000000015,,,0.003
250,TCD,Chad,12361000.0,2011,1.118,0.09,0.063,12.132,,,0.003
